Team,2022 Wins
Auburn,5
UAB,7
South Alabama,10
Arkansas,7
Arizona State,3
Arizona,5
San Diego State,7
San José State,7
Stanford,3
California,4
UCLA,9
USC,11
Colorado State,3
Colorado,1
Connecticut,6
Florida State,10
Florida,6
South Florida,1
Georgia Tech,5
Georgia,15
Hawai'i,3
Iowa State,4
Boise State,10
Northwestern,1
Indiana,4
Notre Dame,9
Kentucky,7
Louisville,8
Western Kentucky,9
LSU,10
Boston College,3
UMass,1
Maryland,8
Michigan State,5
Michigan,13
Minnesota,9
Missouri,6
Ole Miss,8
Duke,9
East Carolina,8
NC State,8
North Carolina,9
Wake Forest,8
Nebraska,4
Rutgers,4
New Mexico State,7
New Mexico,2
Syracuse,7
Bowling Green,6
Miami (OH),6
Ohio State,11
Ohio,10
Oklahoma State,7
Oklahoma,6
Tulsa,5
Oregon State,10
Penn State,11
Temple,3
Pittsburgh,9
Clemson,11
Memphis,7
Vanderbilt,5
Baylor,6
Rice,5
Texas A&M,5
Houston,8
North Texas,7
Texas,8
BYU,8
Utah,10
James Madison,8
Virginia,3
Virginia Tech,3
Washington,11
Washington State,7
Wisconsin,7
Marshall,9
West Virginia,5
Fresno State,10
Georgia Southern,6
Old Dominion,3
Louisiana,6
Coastal Carolina,9
Texas State,4
Utah State,6
Alabama,11
Mississippi State,9
Army,6
Illinois,8
Air Force,10
Akron,2
Appalachian State,6
Arkansas State,3
Ball State,5
Buffalo,7
UCF,9
Central Michigan,4
Cincinnati,9
Eastern Michigan,9
Florida Atlantic,5
Florida International,4
Georgia State,4
Iowa,8
Kansas,6
Kansas State,10
Kent State,5
Liberty,8
Louisiana Tech,3
Miami,5
Middle Tennessee,8
Navy,4
Charlotte,3
Louisiana Monroe,4
UNLV,5
Nevada,2
Northern Illinois,3
Oregon,10
Purdue,8
SMU,7
Southern Mississippi,7
South Carolina,8
TCU,13
Tennessee,11
UT San Antonio,11
UTEP,5
Texas Tech,8
Toledo,9
Troy,12
Tulane,12
Western Michigan,5
Wyoming,7
